trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-80.66772485376165,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9607894391523231}",25,0,-29.75453800491308,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9417645335842485}",20,0,-107.91134791848864,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9231163463866355}",25,0,-122.35230149014822,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9048374180359593}",25,0,-181.3394862094256,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.8869204367171571}",25,0,-147.34478399244773,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.8693582353988054}",20,0,-57.86569423821105,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.8521437889662109}",25,0,-225.8615242820723,"{0: 10, 1: 1, 2: 11, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.8352702114112716}",25,0,-54.8099558648896,"{0: 17, 1: 6, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.8187307530779814}",30,0,-116.56808032400419,"{0: 21, 1: 0, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8025187979624779}",20,0,-98.25617888001143,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.7866278610665528}",25,0,-130.2320067421241,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.7710515858035657}",35,0,-151.78742292767788,"{0: 26, 1: 2, 2: 3, 3: 1, 4: 3}",0
