trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-179.4666343033564,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-99.4314415237002,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,9,-58.162764112037976,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,16,7.948560777666671,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-177.08901060949262,"{0: 11, 1: 8, 2: 7, 3: 4, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-139.17927191428026,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-103.84551614442469,"{0: 17, 1: 2, 2: 10, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-210.10932999107067,"{0: 22, 1: 1, 2: 7, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-126.49319239821459,"{0: 19, 1: 0, 2: 9, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,2,-77.01474378724443,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,14,-108.54405123245394,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,11,-110.14159981516296,"{0: 7, 1: 0, 2: 4, 3: 2, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-114.74717390670183,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-53.76079103960784,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-124.32093919651295,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-101.70739533907508,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-131.4110711822218,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-46.75977016235524,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-190.42172715810537,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,12,-37.4257538303472,"{0: 4, 1: 1, 2: 2, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-117.54395351202159,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-166.89356921186396,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,0,-133.98917380080658,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-42.61021764360823,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-215.58296634700574,"{0: 7, 1: 2, 2: 5, 3: 4, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-202.88722303234724,"{0: 14, 1: 5, 2: 1, 3: 1, 4: 4}",0
7,True,"{'a': 0, 'e': 0}",20,0,-86.77847573893885,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",35,0,-201.8499753105472,"{0: 16, 1: 11, 2: 4, 3: 2, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",30,0,-74.69435836141766,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-115.39236427128924,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
